Price,Car Name,Region,Condition,Mileage
"₦ 5,985,000",Toyota Corolla 2009 Black,"Enugu State, Enugu",Local Used,279715 km
"₦ 11,960,000",Toyota Camry 2011 Silver,"Lagos State, Ogudu",Foreign Used,105335 km
"₦ 26,000,000",Lexus RX 350 2013 Black,"Abuja (FCT), Karu",Local Used,94719 km
"₦ 4,935,000",Mitsubishi Outlander 3.0 2007 Black,"Lagos State, Lekki",Local Used,414047 km
"₦ 27,300,000",Lexus ES 2016 Black,"Abuja (FCT), Wuse",Local Used,9535 km
"₦ 7,280,000",Toyota Camry 2009 Orange,"Lagos State, Abule Egba",Local Used,173028 km
"₦ 3,696,000",Nissan Pathfinder 1998 Gray,"Lagos State, Amuwo-Odofin",Local Used,623467 km
"₦ 7,560,000",Mercedes-Benz C300 2008 White,"Lagos State, Magodo",Local Used,167661 km
"₦ 7,800,000",Toyota Camry 2002 White,"Lagos State, Ikoyi",Foreign Used,120761 km
"₦ 8,925,000",Mercedes-Benz C250 2014 Gray,"Abuja (FCT), Wuse",Local Used,166232 km
"₦ 12,495,000",Mercedes-Benz E350 2012 White,"Lagos State, Lekki",Foreign Used,61986 km
"₦ 5,250,000",Toyota Corolla 2009 Black,"Lagos State, Kosofe",Local Used,412580 km
"₦ 6,240,000",Honda Accord 2008 Silver,"Lagos State, Ikeja",Local Used,207059 km
"₦ 9,450,000",Toyota Sienna 2012 Black,"Edo State, Benin City",Local Used,243933 km
"₦ 6,300,000",Toyota Camry 2007 Gray,"Ondo State, Akure",Local Used,285915 km
"₦ 10,400,000",Toyota Sienna LE 4WD 2007 Silver,"Abuja (FCT), Lugbe District",Foreign Used,416979 km
"₦ 20,800,000",Mercedes-Benz GLK-Class 2010 Black,"Lagos State, Amuwo-Odofin",Foreign Used,272879 km
"₦ 19,240,000",Lexus RX 2011 Black,"Lagos State, Lekki",Local Used,200137 km
"₦ 93,712,500",Mercedes-Benz GLE-Class GLE 350 2021 Black,"Lagos State, Lekki",Foreign Used,126344 km
"₦ 21,000,000",Mercedes-Benz E350 2014 Black,"Abuja (FCT), Asokoro",Foreign Used,149385 km
"₦ 15,600,000",Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,"Abuja (FCT), Asokoro",Local Used,232853 km
"₦ 14,144,000",Toyota Camry 2016 Black,"Abuja (FCT), Gwarinpa",Local Used,131000 km
"₦ 6,825,000",Hyundai Elantra 2014 Black,"Rivers State, Port-Harcourt",Local Used,107138 km
"₦ 4,200,000",Honda Accord 2006 Gray,"Abuja (FCT), Gwarinpa",Foreign Used,111433 km
"₦ 5,880,000",Honda Ridgeline 2006 Silver,"Lagos State, Lekki",Local Used,162694 km
"₦ 4,200,000",Nissan Xterra 2000 Silver,"Rivers State, Port-Harcourt",Local Used,287138 km
