Price,Car Name,Region,Condition,Mileage
"₦ 92,250,000",Lexus LX 2017 Black,"Lagos State, Ajah",Local Used,68739 km
"₦ 7,875,000",Toyota Camry 2008 Black,"Lagos State, Ajah",Local Used,283144 km
"₦ 5,400,000",Honda CR-V 2007 Gold,"Rivers State, Port-Harcourt",Local Used,157250 km
"₦ 5,625,000",Toyota Camry 2002 Silver,"Lagos State, Ikeja",Local Used,348861 km
"₦ 7,312,500",Mazda 5 2006 Gray,"Rivers State, Port-Harcourt",Local Used,205371 km
"₦ 5,062,500",Mercedes-Benz E220 2003 White,"Abuja (FCT), Gudu",Local Used,222405 km
"₦ 10,687,500",Honda CR-V 2012 Gray,"Lagos State, Ogudu",Local Used,126803 km
"₦ 5,625,000",Hyundai Accent 2013 Blue,"Abuja (FCT), Karu",Local Used,225426 km
"₦ 4,455,000",Toyota Corolla LE 2004 Gray,"Rivers State, Port-Harcourt",Local Used,207585 km
"₦ 5,532,187",Honda Accord Crosstour 2010 Red,"Lagos State, Ojodu",Local Used,237567 km
"₦ 28,125,000",Mercedes-Benz CLS 2012 White,"Lagos State, Ikeja",Local Used,169944 km
"₦ 6,209,998",Toyota Camry 2007 Silver,"Lagos State, Abule Egba",Local Used,507746 km
"₦ 7,875,000",Nissan Maxima 2013 Black,"Lagos State, Lekki",Local Used,174270 km
"₦ 6,075,000",Lexus GS 2008 Black,"Rivers State, Port-Harcourt",Local Used,80025 km
"₦ 6,187,500",Kia Optima 2007 Black,"Abuja (FCT), Central Business District",Local Used,233372 km
"₦ 5,062,500",Kia Sorento 2009 Silver,"Lagos State, Ikeja",Local Used,120811 km
"₦ 7,087,500",Toyota RAV4 2010 Red,"Lagos State, Magodo",Local Used,198870 km
"₦ 2,812,500",Nissan Sentra 2005 Silver,"Lagos State, Ikeja",Local Used,191306 km
"₦ 3,870,000",Toyota Camry 2003 Green,"Lagos State, Surulere",Local Used,452644 km
"₦ 4,556,250",Toyota 4-Runner Limited V6 4x4 2005 Blue,"Lagos State, Ilupeju",Local Used,211107 km
"₦ 84,375,000",Land Rover Range Rover 2018 Gray,"Lagos State, Ikoyi",Foreign Used,54226 km
"₦ 4,950,000",Toyota Corolla 2005 Red,"Lagos State, Ikeja",Local Used,482800 km
"₦ 9,562,500",Infiniti M 2008 Gray,"Abuja (FCT), Jabi",Local Used,143007 km
"₦ 8,152,031",Lexus ES 350 2007 Black,"Imo State, Owerri",Local Used,317202 km
"₦ 22,500,000",Toyota Avalon 2015 Blue,"Abuja (FCT), Gudu",Foreign Used,104423 km
"₦ 5,962,500",Toyota Sienna 2004 Gray,"Lagos State, Ogudu",Local Used,304093 km
"₦ 10,125,000",Hyundai Sonata Hybrid 2014 White,"Lagos State, Ikotun/Igando",Local Used,226290 km
"₦ 33,750,000",BMW 6 Series 2016 Black,"Oyo State, Ibadan",Foreign Used,81657 km
"₦ 2,475,000",Honda Accord 2004 Gray,"Oyo State, Ibadan",Local Used,157813 km
"₦ 7,601,625",Toyota Camry 2010 Black,"Abuja (FCT), Gwarinpa",Local Used,349724 km
"₦ 7,264,687",Lexus IS 250 AWD 2006 Silver,"Lagos State, Ojodu",Local Used,196260 km
"₦ 5,062,500",Toyota Camry 2005 Gold,"Delta State, Oshimili South",Local Used,244592 km
"₦ 20,250,000",Toyota Sienna 2013 Gray,"Lagos State, Amuwo-Odofin",Foreign Used,267522 km
"₦ 6,570,000",Toyota Corolla 2010 Black,"Lagos State, Ilupeju",Local Used,135093 km
"₦ 6,300,000",Mercedes-Benz C300 2008 Silver,"Delta State, Oshimili South",Local Used,109639 km
"₦ 9,000,000",Lexus ES 2007 Black,"Lagos State, Ikorodu",Local Used,
"₦ 16,312,500",Toyota Camry 2012 Silver,"Oyo State, Ibadan",Foreign Used,419247 km
"₦ 20,250,000",Infiniti Q50 2014 Gray,"Lagos State, Ikeja",Foreign Used,288100 km
"₦ 14,625,000",Peugeot 508 2016 Black,"Abuja (FCT), Jabi",Foreign Used,82908 km
"₦ 9,562,500",Honda Civic 2013 Black,"Abuja (FCT), Wuse",Local Used,125794 km
"₦ 3,375,000",Honda Accord 2003 Silver,"Lagos State, Mushin",Local Used,327874 km
"₦ 3,712,500",Honda Pilot 2005 Silver,"Abuja (FCT), Jabi",Local Used,261470 km
"₦ 26,775,000",Mercedes-Benz GLA-Class 2015 Gray,"Lagos State, Ikeja",Foreign Used,116664 km
"₦ 7,020,000",Hyundai Sonata 2012 Gray,"Abuja (FCT), Kubwa",Local Used,734600 km
"₦ 7,312,500",Toyota Yaris 2007 Black,"Oyo State, Ibadan",Local Used,187307 km
"₦ 6,502,500",Toyota Camry 2008 Gray,"Abia State, Aba North",Local Used,310634 km
"₦ 4,162,500",Pontiac Vibe 2006 White,"Lagos State, Ikorodu",Local Used,261596 km
"₦ 36,956,250",Mercedes-Benz C300 2018 White,"Lagos State, Lekki",Foreign Used,42626 km
"₦ 4,500,000",Toyota Camry 2002 Blue,"Oyo State, Ibadan",Local Used,280976 km
"₦ 3,937,500",Toyota Camry 2003 Blue,"Lagos State, Yaba",Local Used,260576 km
"₦ 10,125,000",Acura TL 2012 Black,"Delta State, Oshimili South",Local Used,189963 km
"₦ 3,375,000",Suzuki XL-7 2003 Gold,"Lagos State, Ajah",Local Used,201590 km
"₦ 5,062,500",Mercedes-Benz GL-Class GL 450 2010 Gray,"Lagos State, Ikorodu",Local Used,178815 km
"₦ 3,937,500",Hyundai Tucson 2009 Gray,"Lagos State, Ikorodu",Local Used,254134 km
"₦ 3,037,500",Honda Accord 2004 Red,"Lagos State, Isolo",Local Used,242212 km
"₦ 3,937,500",Toyota Prius 2005 Blue,"Lagos State, Ikorodu",Local Used,125231 km
"₦ 5,400,000",Toyota Camry 2007 Red,"Lagos State, Ikorodu",Local Used,202030 km
"₦ 8,437,500",Lexus RX 330 2004 Gold,"Lagos State, Mushin",Local Used,219954 km
"₦ 9,562,500",Lexus RX 350 2008 Silver,"Oyo State, Ibadan",Local Used,254538 km
"₦ 5,062,500",Toyota Highlander 2003 Gray,"Lagos State, Ikeja",Local Used,381732 km
"₦ 6,750,000",Toyota Camry 2007 Gold,"Lagos State, Ogba",Local Used,223880 km
"₦ 5,962,500",Toyota 4-Runner 2007 Black,"Lagos State, Ikoyi",Local Used,148449 km
"₦ 3,937,500",Honda Accord 2008 Gray,"Abuja (FCT), Karu",Local Used,124423 km
"₦ 22,500,000",Toyota Camry 2016 Black,"Lagos State, Lekki",Local Used,88606 km
"₦ 20,812,500",GAC GS3 2021 Black,"Lagos State, Surulere",Local Used,36597 km
"₦ 3,937,500",Toyota Highlander 2003 Black,"Ondo State, Akure",Local Used,187768 km
"₦ 4,500,000",Honda Accord 2008 Black,"Abuja (FCT), Kubwa",Local Used,154403 km
"₦ 7,875,000",Toyota Camry 2011 Gray,"Lagos State, Yaba",Local Used,130800 km
"₦ 15,525,000",Mercedes-Benz GLK-Class 2013 White,"Abia State, Aba North",Local Used,190304 km
"₦ 7,312,500",Toyota Highlander 2002 Red,"Edo State, Benin City",Local Used,224461 km
"₦ 3,600,000",Opel Zafira 2002 Black,"Oyo State, Ibadan",Local Used,264298 km
"₦ 4,275,000",Toyota Corolla Sedan 2003 Red,"Abuja (FCT), Lugbe District",Local Used,482800 km
"₦ 14,625,000",Mercedes-Benz C300 2013 Gray,"Abuja (FCT), Gwarinpa",Local Used,195821 km
"₦ 4,140,000",Toyota Camry 2005 Gold,"Abia State, Aba North",Local Used,263751 km
"₦ 8,775,000",Lexus RX 350 2007 Silver,"Lagos State, Yaba",Local Used,165037 km
"₦ 8,662,500",Toyota Corolla 2009 Gray,"Lagos State, Ojodu",Local Used,129120 km
"₦ 9,337,500",Toyota Camry 2012 Silver,"Lagos State, Isolo",Local Used,95338 km
"₦ 13,500,000",Toyota Land Cruiser 2004 Black,"Lagos State, Ikeja",Local Used,216184 km
"₦ 4,500,000",Nissan Altima 2006 Green,"Lagos State, Alimosho",Local Used,264305 km
"₦ 4,275,000",Nissan Xterra 2006 Black,"Lagos State, Ikorodu",Local Used,153763 km
"₦ 4,162,500",Nissan Pathfinder 2007 Silver,"Lagos State, Ogba",Local Used,220756 km
"₦ 12,150,000",Toyota Camry 2014 Gray,"Abuja (FCT), Lugbe District",Local Used,251343 km
"₦ 9,562,500",Toyota Avalon 2008 White,"Enugu State, Enugu",Foreign Used,477244 km
"₦ 15,750,000",Toyota Highlander 2009 Gray,"Enugu State, Enugu",Foreign Used,73228 km
"₦ 5,625,000",Honda Accord 2007 Brown,"Lagos State, Lekki",Local Used,24106 km
"₦ 3,375,000",Lexus GS 2003 Black,"Abuja (FCT), Lugbe District",Local Used,339403 km
"₦ 15,750,000",BMW X6 2008 Green,"Rivers State, Port-Harcourt",Local Used,112327 km
"₦ 16,734,375",Toyota Sienna 2012 Black,"Lagos State, Lekki",Foreign Used,84459 km
"₦ 5,062,500",Acura MDX 2010 Green,"Abuja (FCT), Central Business District",Local Used,189056 km
"₦ 8,415,000",Toyota Matrix 2006 Blue,"Lagos State, Amuwo-Odofin",Foreign Used,393168 km
"₦ 10,327,500",Toyota Camry 2014 Blue,"Abuja (FCT), Karu",Local Used,94075 km
"₦ 3,937,500",Toyota Avalon 2001 Black,"Enugu State, Enugu",Local Used,250000 km
"₦ 4,500,000",Toyota Sienna 2002 White,"Ogun State, Abeokuta North",Local Used,251396 km
"₦ 7,920,000",Lexus ES 2008 White,"Rivers State, Port-Harcourt",Local Used,124467 km
"₦ 8,100,000",Toyota RAV4 2011 Gray,"Lagos State, Yaba",Local Used,199999 km
"₦ 140,625,000",Mercedes-Benz GLE-Class 2021 White,"Lagos State, Lekki",Foreign Used,62823 km
"₦ 7,875,000",Lexus GS 2008 White,"Rivers State, Port-Harcourt",Local Used,216515 km
"₦ 17,437,500",Toyota Venza 2011 Black,"Abuja (FCT), Kubwa",Local Used,120203 km
"₦ 10,350,000",Lexus ES 2010 Black,"Edo State, Benin City",Local Used,109469 km
"₦ 3,937,500",Honda Accord 2.4 EX Automatic 2008 Black,"Akwa Ibom State, Uyo",Local Used,174222 km
"₦ 9,562,500",BMW X6 2009 White,"Lagos State, Yaba",Local Used,245353 km
"₦ 11,250,000",Ford Explorer 2011 Gray,"Rivers State, Port-Harcourt",Local Used,81234 km
"₦ 5,062,500",Toyota Sequoia 2003 Gold,"Lagos State, Ikorodu",Local Used,231612 km
"₦ 22,500,000",Toyota Corolla 2017 Blue,"Lagos State, Lekki",Foreign Used,73370 km
"₦ 19,125,000",Honda CR-V 2013 White,"Abuja (FCT), Karu",Local Used,155122 km
"₦ 9,000,000",Hyundai Elantra 2012 White,"Abuja (FCT), Gudu",Local Used,161565 km
"₦ 7,875,000",Infiniti FX35 2010 White,"Lagos State, Alimosho",Local Used,132249 km
"₦ 10,125,000",Land Rover Lr3 2005 Silver,"Lagos State, Amuwo-Odofin",Foreign Used,125909 km
"₦ 15,750,000",Toyota Land Cruiser Prado 2.7 i 16V 2006 White,"Abuja (FCT), Lugbe District",Local Used,340608 km
"₦ 21,937,500",Toyota RAV4 2015 Blue,"Lagos State, Alimosho",Local Used,291451 km
"₦ 7,650,000",Toyota RAV4 2006 Blue,"Oyo State, Ibadan",Local Used,232351 km
"₦ 6,187,500",Toyota Matrix 2003 Blue,"Edo State, Benin City",Local Used,92685 km
"₦ 4,500,000",Toyota Matrix 2005 Black,"Lagos State, Abule Egba",Local Used,201265 km
"₦ 15,750,000",Toyota Tacoma 2007 Red,"Lagos State, Isolo",Local Used,231046 km
"₦ 9,000,000",Toyota Corolla 2009 White,"Lagos State, Ikoyi",Local Used,181394 km
"₦ 4,500,000",Volkswagen Golf 1998 Blue,"Lagos State, Ogba",Local Used,141227 km
"₦ 11,250,000",Toyota Camry 2011 Silver,"Lagos State, Ikoyi",Foreign Used,165535 km
"₦ 3,712,500",Toyota Sienna 2005 Blue,"Lagos State, Ojodu",Local Used,443775 km
"₦ 8,100,000",Toyota Avensis 2009 Blue,"Abuja (FCT), Kubwa",Local Used,166974 km
"₦ 10,125,000",Kia Sorento 2012 Gray,"Lagos State, Magodo",Local Used,105573 km
"₦ 22,500,000",Lexus RX 350 2010 Gray,"Lagos State, Amuwo-Odofin",Local Used,249747 km
"₦ 6,232,500",Toyota Highlander 2006 Red,"Abuja (FCT), Karu",Local Used,266573 km
"₦ 4,050,000",Honda Civic 2007 White,"Rivers State, Port-Harcourt",Local Used,200288 km
"₦ 9,562,500",Hyundai Sonata 2013 Black,"Rivers State, Port-Harcourt",Local Used,164141 km
"₦ 13,005,000",Toyota Highlander 2011 Black,"Lagos State, Ilupeju",Local Used,88703 km
"₦ 14,625,000",Toyota Avensis 2012 Black,"Lagos State, Amuwo-Odofin",Local Used,279098 km
"₦ 11,250,000",BMW X6 2011 Black,"Abuja (FCT), Gwarinpa",Local Used,216871 km
"₦ 5,062,500",Honda Accord 2008 Black,"Abuja (FCT), Garki 2",Local Used,120574 km
"₦ 6,210,000",Toyota Camry 2007 Black,"Lagos State, Ikeja",Local Used,273924 km
"₦ 22,500,000",Mercedes-Benz SL-Class 2005 Silver,"Oyo State, Ibadan",Foreign Used,216704 km
"₦ 3,060,000",Honda CR-V 2004 Red,"Lagos State, Ilupeju",Local Used,115105 km
"₦ 5,625,000",Hyundai Tucson 2008 Black,"Abuja (FCT), Kubwa",Local Used,177174 km
"₦ 33,750,000",BMW X5 2014 Blue,"Abuja (FCT), Lugbe District",Local Used,61300 km
"₦ 2,250,000",Honda Accord 2001 Red,"Abuja (FCT), Gudu",Local Used,207416 km
"₦ 34,425,000",Honda Civic 2023 White,"Abuja (FCT), Jabi",Foreign Used,101679 km
"₦ 6,187,500",Toyota Sequoia 2001 Green,"Lagos State, Ikoyi",Local Used,232310 km
"₦ 6,187,500",Toyota Camry 2007 Silver,"Abuja (FCT), Gwarinpa",Local Used,156648 km
"₦ 4,725,000",Honda Civic 2006 Blue,"Abuja (FCT), Wuse",Local Used,176399 km
"₦ 30,937,500",Ford Edge 2017 Gray,"Abuja (FCT), Wuse",Local Used,254167 km
"₦ 20,812,500",Mercedes-Benz E350 2015 Black,"Abuja (FCT), Karu",Local Used,81276 km
"₦ 5,625,000",Peugeot 407 2004 Purple,"Abuja (FCT), Karu",Local Used,95312 km
"₦ 8,100,000",Hyundai Ix35 2014 White,"Lagos State, Magodo",Local Used,201911 km
"₦ 25,818,750",Mercedes-Benz M Class 2012 Gray,"Lagos State, Ogba",Foreign Used,247234 km
"₦ 10,125,000",Honda Ridgeline 2008 Burgandy,"Lagos State, Surulere",Local Used,154786 km
"₦ 6,525,000",Volkswagen Passat 1.4 TSI Sedan 2012 White,"Lagos State, Ojodu",Local Used,177 km
"₦ 13,500,000",Toyota Sienna 2005 Silver,"Oyo State, Ibadan",Foreign Used,128875 km
"₦ 9,562,500",Honda Civic 2009 Gray,"Abuja (FCT), Kubwa",Foreign Used,154489 km
"₦ 22,500,000",Toyota Tundra 2010 Black,"Lagos State, Kosofe",Foreign Used,266863 km
"₦ 29,250,000",Toyota Highlander 2015 Blue,"Lagos State, Lekki",Local Used,124704 km
"₦ 16,875,000",Toyota Corolla 2014 Blue,"Kaduna State, Kaduna / Kaduna State",Foreign Used,110482 km
"₦ 2,250,000",Honda Civic 2002 Blue,"Lagos State, Abule Egba",Local Used,192477 km
"₦ 5,062,500",Honda CR-V 2010 Black,"Rivers State, Port-Harcourt",Local Used,209036 km
"₦ 9,562,601",Ford Edge 2012 Brown,"Ogun State, Abeokuta North",Local Used,459827 km
"₦ 8,437,500",Toyota Camry 2009 White,"Lagos State, Abule Egba",Local Used,513117 km
"₦ 2,812,500",Nissan Xterra 2005 Black,"Lagos State, Yaba",Local Used,205285 km
"₦ 28,125,000",Land Rover Range Rover Sport HSE 4x4 (3.0L 6cyl 8A) 2014 Silver,"Lagos State, Lekki",Local Used,41950 km
"₦ 6,750,000",Mazda CX-9 2007 Red,"Abuja (FCT), Jabi",Local Used,155269 km
"₦ 6,750,000",Land Rover Range Rover Evoque 2012 Burgandy,"Edo State, Benin City",Local Used,66581 km
"₦ 84,375,000",Mercedes-Benz GLE-Class 2017 Gray,"Lagos State, Alimosho",Foreign Used,140714 km
"₦ 5,625,000",Toyota Corolla 2012 Black,"Lagos State, Alimosho",Local Used,245991 km
"₦ 21,375,000",Dodge Charger 2014 White,"Lagos State, Ajah",Foreign Used,165111 km
"₦ 6,412,500",Toyota Camry 2009 Black,"Akwa Ibom State, Uyo",Local Used,121855 km
"₦ 30,375,000",Hyundai Santa Fe 2017 Silver,"Lagos State, Ikoyi",Foreign Used,195513 km
"₦ 12,375,000",Lexus RX 350 2009 Red,"Lagos State, Alimosho",Local Used,171545 km
"₦ 2,025,000",Nissan Maxima 2002 Gray,"Oyo State, Ibadan",Local Used,448123 km
"₦ 3,712,500",Honda Civic 2008 Gray,"Lagos State, Abule Egba",Local Used,172684 km
"₦ 9,562,500",Honda Pilot 2011 Gray,"Lagos State, Ogudu",Local Used,100013 km
"₦ 6,097,500",Toyota Camry 2007 Gray,"Lagos State, Magodo",Local Used,248942 km
"₦ 10,996,875",Toyota Camry 2013 Blue,"Ondo State, Akure",Local Used,211272 km
"₦ 77,625,000",Lexus GX 2016 Black,"Lagos State, Lekki",Foreign Used,109804 km
"₦ 10,125,000",Audi Q7 2012 Red,"Abuja (FCT), Lugbe District",Local Used,81277 km
"₦ 4,905,000",Toyota Matrix 2006 Blue,"Lagos State, Ikeja",Local Used,149508 km
"₦ 13,320,000",Toyota Highlander 2012 Black,"Lagos State, Ikeja",Local Used,249879 km
"₦ 5,625,000",Mercedes-Benz C240 2001 Gray,"Enugu State, Enugu",Local Used,352692 km
"₦ 7,312,500",Toyota Avalon 2009 Blue,"Abia State, Aba North",Local Used,384807 km
"₦ 10,125,000",Toyota Sienna 2005 Green,"Lagos State, Kosofe",Local Used,370650 km
"₦ 9,562,500",Honda Crosstour 2013 Black,"Lagos State, Ikeja",Local Used,160850 km
"₦ 5,625,000",Toyota Camry 2005 Red,"Abuja (FCT), Wuse",Local Used,196332 km
"₦ 5,355,000",Toyota Camry 2008 Silver,"Lagos State, Surulere",Local Used,100685 km
"₦ 16,256,250",Toyota RAV4 2015 Silver,"Lagos State, Alimosho",Local Used,254938 km
"₦ 3,150,000",Nissan X-Trail 2.5 Sport 2005 Black,"Lagos State, Ikorodu",Local Used,282225 km
"₦ 2,925,000",Volvo XC90 D5 AWD Automatic 2005 Gray,"Lagos State, Ojodu",Local Used,318345 km
"₦ 37,676,250",Lexus RX 2016 Silver,"Lagos State, Ojodu",Local Used,269092 km
"₦ 7,312,500",Toyota RAV4 2010 Silver,"Lagos State, Kosofe",Local Used,225587 km
"₦ 20,278,125",Toyota Highlander 2015 Beige,"Lagos State, Lekki",Local Used,182983 km
"₦ 5,625,000",Seat Ibiza 2005 Silver,"Lagos State, Ilupeju",Foreign Used,144919 km
"₦ 11,812,500",Audi A6 2012 Gray,"Abuja (FCT), Lugbe District",Local Used,523780 km
"₦ 15,187,500",Toyota Venza 2010 White,"Lagos State, Ajah",Local Used,314038 km
"₦ 24,862,500",Toyota Highlander 2015 Gray,"Lagos State, Amuwo-Odofin",Local Used,149985 km
"₦ 11,283,750",Honda Accord 2015 Black,"Lagos State, Lekki",Local Used,93728 km
"₦ 10,125,000",Lexus ES 2010 Black,"Abuja (FCT), Garki 2",Local Used,263314 km
"₦ 7,875,000",Toyota Camry 2009 Red,"Abuja (FCT), Garki 2",Local Used,270618 km
"₦ 7,312,500",Jaguar S-Type 2000 Black,"Lagos State, Lekki",Local Used,
"₦ 10,462,500",Nissan Altima 2015 Red,"Lagos State, Alimosho",Foreign Used,121429 km
"₦ 3,937,500",Scion tC 2006 Black,"Ogun State, Abeokuta North",Local Used,336810 km
"₦ 2,812,500",Honda Accord 2002 Blue,"Oyo State, Ibadan",Local Used,410071 km
"₦ 4,050,000",Lexus RX 300 2003 Gray,"Abia State, Umuahia",Local Used,103110 km
"₦ 10,687,500",Mercedes-Benz C300 2008 Black,"Abia State, Aba North",Local Used,206314 km
"₦ 3,037,500",Nissan Primera 2003 Green,"Ogun State, Abeokuta North",Local Used,263221 km
"₦ 22,950,000",Mercedes-Benz GLK-Class 2013 Black,"Lagos State, Ajah",Foreign Used,248071 km
"₦ 9,720,000",Lexus ES 2010 Green,"Lagos State, Isolo",Local Used,104524 km
"₦ 11,250,000",Toyota Matrix 2010 Gray,"Lagos State, Surulere",Foreign Used,412405 km
"₦ 12,150,000",Toyota Highlander 2007 Black,"Lagos State, Isolo",Local Used,175088 km
"₦ 5,062,500",Honda City 2010 Black,"Abuja (FCT), Jabi",Local Used,154438 km
"₦ 6,750,000",Honda Accord 2010 Gray,"Lagos State, Isolo",Local Used,241274 km
"₦ 6,187,500",Toyota Corolla LE 2007 Gold,"Akwa Ibom State, Uyo",Local Used,185093 km
"₦ 6,975,000",Toyota Camry 2010 Gold,"Lagos State, Ikoyi",Local Used,149390 km
"₦ 29,812,500",Toyota Highlander LE 4dr SUV (3.5L 6cyl 6A) 2015 Blue,"Lagos State, Alimosho",Local Used,206808 km
"₦ 14,332,500",Toyota RAV4 2013 Gray,"Lagos State, Amuwo-Odofin",Local Used,225502 km
"₦ 9,000,000",GMC Acadia 2008 Brown,"Abuja (FCT), Gwarinpa",Local Used,360413 km
"₦ 7,256,250",Acura MDX 2011 Black,"Lagos State, Ajah",Local Used,193088 km
"₦ 4,500,000",Honda Civic 2008 Silver,"Lagos State, Surulere",Local Used,134618 km
"₦ 12,375,000",Toyota Corolla 2009 Red,"Abuja (FCT), Lugbe District",Foreign Used,223300 km
"₦ 2,812,500",Toyota Camry 2004 Black,"Lagos State, Ikeja",Local Used,434813 km
"₦ 8,437,500",Honda Pilot 2004 Silver,"Rivers State, Port-Harcourt",Local Used,271126 km
"₦ 30,375,000",Land Rover Lr4 2012 White,"Lagos State, Kosofe",Foreign Used,287207 km
"₦ 13,500,000",Toyota Venza 2014 Black,"Lagos State, Lekki",Local Used,101222 km
"₦ 14,625,000",Land Rover Range Rover Evoque 2012 Black,"Abuja (FCT), Karu",Local Used,55500 km
"₦ 3,487,500",Peugeot 206 2002 Silver,"Abuja (FCT), Lugbe District",Local Used,965604 km
"₦ 6,300,000",Toyota Camry 2009 Black,"Oyo State, Ibadan",Local Used,175302 km
"₦ 6,930,000",Hyundai Sonata 2012 Red,"Abuja (FCT), Jabi",Local Used,169333 km
"₦ 5,490,000",Toyota 4-Runner 2003 Black,"Abuja (FCT), Karu",Local Used,238453 km
"₦ 5,456,250",Honda CR-V 2007 Red,"Lagos State, Ojodu",Local Used,6370 km
"₦ 7,875,000",Toyota Sienna 2008 Gray,"Abuja (FCT), Jabi",Local Used,258450 km
"₦ 63,112,500",Toyota Highlander 2021 Silver,"Lagos State, Ikeja",Foreign Used,212968 km
"₦ 6,750,000",Toyota Avensis 2003 Silver,"Lagos State, Alimosho",Local Used,311950 km
"₦ 4,387,500",Toyota Camry 2004 Blue,"Imo State, Owerri",Local Used,334441 km
"₦ 12,075,000",Lexus ES 350 2009 Gray,"Lagos State, Ikorodu",Foreign Used,
"₦ 3,037,500",Honda Accord 2004 Gray,"Rivers State, Port-Harcourt",Local Used,203950 km
"₦ 18,000,000",Ford Edge 2015 Black,"Lagos State, Ikorodu",Foreign Used,142330 km
"₦ 8,325,000",Toyota Camry 2010 Gray,"Lagos State, Ilupeju",Local Used,109960 km
"₦ 5,625,000",Nissan Almera 2005 Gray,"Lagos State, Alimosho",Local Used,135683 km
"₦ 2,677,500",Honda Civic 1.4i S 2003 Beige,"Lagos State, Lekki",Local Used,637420 km
"₦ 6,255,000",Toyota Camry 2010 Gray,"Abuja (FCT), Gwarinpa",Local Used,194189 km
"₦ 25,200,000",Mercedes-Benz M Class 2012 Black,"Rivers State, Port-Harcourt",Foreign Used,225146 km
"₦ 14,175,000",Toyota Camry 2015 Silver,"Lagos State, Lekki",Local Used,67498 km
"₦ 9,672,000",Lexus RX 2008 Silver,"Edo State, Benin City",Local Used,42935 km
"₦ 12,375,000",Lexus RX 350 2009 Silver,"Oyo State, Ibadan",Local Used,181146 km
"₦ 16,800,000",Toyota Venza 2011 Ivory,"Ogun State, Abeokuta North",Foreign Used,202461 km
"₦ 14,625,000",Land Rover Range Rover Evoque 2014 Blue,"Lagos State, Isolo",Local Used,137431 km
"₦ 8,100,000",Mercedes-Benz GL-Class 2008 Black,"Abuja (FCT), Jabi",Local Used,110767 km
"₦ 19,125,000",Toyota Highlander 2013 Blue,"Lagos State, Surulere",Foreign Used,446561 km
"₦ 18,900,000",Lexus RX 350 2014 Black,"Lagos State, Lekki",Local Used,162850 km
"₦ 3,937,500",Honda Accord 2003 Silver,"Lagos State, Ikeja",Local Used,548620 km
"₦ 6,525,000",Hyundai Elantra 2013 Beige,"Lagos State, Ajah",Local Used,101412 km
"₦ 18,646,875",Toyota Highlander 2011 Silver,"Imo State, Owerri",Foreign Used,139019 km
"₦ 5,850,000",Ford Edge 2010 Gray,"Lagos State, Ikoyi",Local Used,218955 km
"₦ 4,500,000",Honda Ridgeline 2007 Blue,"Oyo State, Ibadan",Local Used,278512 km
"₦ 19,240,000",Lexus RX 350 2012 Silver,"Lagos State, Ikeja",Local Used,97595 km
"₦ 11,250,000",Land Rover Lr4 2010 Brown,"Lagos State, Lekki",Local Used,60220 km
"₦ 3,150,000",Volkswagen Jetta 2007 Black,"Lagos State, Ogba",Local Used,
"₦ 4,050,000",Honda CR-V 2007 Black,"Edo State, Benin City",Local Used,114304 km
"₦ 9,450,000",Toyota Sequoia 2010 Black,"Rivers State, Port-Harcourt",Local Used,156256 km
"₦ 4,950,000",Toyota Avalon 2008 Gray,"Lagos State, Mushin",Local Used,190802 km
"₦ 10,530,000",Toyota Sienna 2011 Blue,"Lagos State, Isolo",Local Used,253429 km
"₦ 5,512,000",Toyota Corolla Sedan Automatic 2003 Silver,"Kaduna State, Kaduna / Kaduna State",Local Used,181026 km
"₦ 3,848,000",Honda Civic 2003 Red,"Rivers State, Port-Harcourt",Local Used,373786 km
"₦ 5,400,000",Toyota Camry 2003 Black,"Lagos State, Lekki",Local Used,209511 km
"₦ 3,375,000",Lexus ES 2002 Green,"Rivers State, Port-Harcourt",Local Used,320207 km
"₦ 27,000,000",Toyota RAV4 2014 Gray,"Oyo State, Ibadan",Foreign Used,262304 km
"₦ 6,187,500",Toyota Corolla 2004 Gold,"Lagos State, Isolo",Local Used,254264 km
"₦ 25,620,000",Lexus GX 460 Premium 2012 Black,"Lagos State, Ojodu",Local Used,86502 km
"₦ 28,312,649",Toyota Highlander 2015 Black,"Lagos State, Ajah",Foreign Used,158798 km
"₦ 4,500,000",BMW S-Series 2006 White,"Oyo State, Ibadan",Local Used,290401 km
"₦ 64,687,500",Honda CR-V 2023 Black,"Lagos State, Magodo",Foreign Used,36057 km
"₦ 6,300,000",Toyota Avensis 2007 Black,"Lagos State, Ikorodu",Foreign Used,252134 km
"₦ 6,525,000",Toyota Corolla 2005 Silver,"Delta State, Oshimili South",Local Used,293772 km
"₦ 6,750,000",Toyota Highlander 2003 Red,"Oyo State, Ibadan",Local Used,136831 km
"₦ 6,750,000",Infiniti G 2011 Black,"Ogun State, Abeokuta North",Local Used,147544 km
"₦ 11,440,000",Lexus ES 2011 Black,"Rivers State, Port-Harcourt",Local Used,228207 km
"₦ 39,375,000",Lexus RX 350 2017 Blue,"Lagos State, Lekki",Local Used,98362 km
"₦ 20,250,000",Land Rover Range Rover Evoque 2013 Silver,"Abuja (FCT), Lugbe District",Local Used,180899 km
"₦ 6,448,000",Toyota 4-Runner 2003 Black,"Lagos State, Alimosho",Local Used,304149 km
"₦ 7,350,000",Lexus ES 350 2008 Silver,"Akwa Ibom State, Uyo",Local Used,273676 km
