Price,Car Name,Region,Condition,Mileage,Year,Color,Brand,Log_Price
6750000.0,Toyota Camry,Lagos State,Local Used,223880.0,2007,Gold,Toyota,15.72505321099685
5962500.0,Toyota 4-Runner,Lagos State,Local Used,148449.0,2007,Black,Toyota,15.601000581893604
3937500.0,Honda Accord,Abuja (FCT),Local Used,124423.0,2008,Gray,Honda,15.186056816084246
22500000.0,Toyota Camry,Lagos State,Local Used,88606.0,2016,Black,Toyota,16.929025911619092
20812500.0,GAC GS3,Lagos State,Local Used,36597.0,2021,Black,GAC,16.851064373752983
3937500.0,Toyota Highlander,Ondo State,Local Used,187768.0,2003,Black,Toyota,15.186056816084246
4500000.0,Honda Accord,Abuja (FCT),Local Used,154403.0,2008,Black,Honda,15.319588176962744
7875000.0,Toyota Camry,Lagos State,Local Used,130800.0,2011,Gray,Toyota,15.87920386966009
15525000.0,Mercedes-Benz GLK-Class,Abia State,Local Used,190304.0,2013,White,Mercedes-Benz,16.557962250196052
7312500.0,Toyota Highlander,Edo State,Local Used,224461.0,2002,Red,Toyota,15.805095907274376
3600000.0,Opel Zafira,Oyo State,Local Used,264298.0,2002,Black,Opel,15.096444681204076
4275000.0,Toyota Corolla Sedan,Abuja (FCT),Local Used,482800.0,2003,Red,Toyota,15.268294894271099
14625000.0,Mercedes-Benz C300,Abuja (FCT),Local Used,195821.0,2013,Gray,Mercedes-Benz,16.49824301945826
4140000.0,Toyota Camry,Abia State,Local Used,263751.0,2005,Gold,Toyota,15.236206587347361
8775000.0,Lexus RX 350,Lagos State,Local Used,165037.0,2007,Silver,Lexus,15.98741744127631
8662500.0,Toyota Corolla,Lagos State,Local Used,129120.0,2009,Gray,Toyota,15.974514037920404
9337500.0,Toyota Camry,Lagos State,Local Used,95338.0,2012,Silver,Toyota,16.04954921551825
13500000.0,Toyota Land Cruiser,Lagos State,Local Used,216184.0,2004,Black,Toyota,16.41820031748273
4500000.0,Nissan Altima,Lagos State,Local Used,264305.0,2006,Green,Nissan,15.319588176962744
4275000.0,Nissan Xterra,Lagos State,Local Used,153763.0,2006,Black,Nissan,15.268294894271099
4162500.0,Nissan Pathfinder,Lagos State,Local Used,220756.0,2007,Silver,Nissan,15.241626653511048
12150000.0,Toyota Camry,Abuja (FCT),Local Used,251343.0,2014,Gray,Toyota,16.312839810055355
9562500.0,Toyota Avalon,Enugu State,Foreign Used,477244.0,2008,White,Toyota,16.073359861692087
15750000.0,Toyota Highlander,Enugu State,Foreign Used,73228.0,2009,Gray,Toyota,16.572350986727976
5625000.0,Honda Accord,Lagos State,Local Used,24106.0,2007,Brown,Honda,15.54273168383252
